Date,Followers
2024-11-18,575
2024-11-19,678
2024-11-20,710
2024-11-22,750
2024-11-23,760
2024-11-24,770
2024-11-25,795
2024-11-26,825
2024-11-27,843
2024-11-28,862
2024-11-29,871
2024-11-30,890
2024-12-01,930
2024-12-02,965
2024-12-03,995
2024-12-04,1001
2024-12-05,1004
2024-12-06,1011
2024-12-07,1016
2024-12-08,1019
2024-12-09,1024
2024-12-10,1028
2024-12-11,1031
2024-12-12,1032
2024-12-13,1034
2024-12-14,1035
2024-12-15,1039
2024-12-16,1038
2024-12-17,1039
2024-12-18,1039
2024-12-19,1038
2024-12-20,1041
2024-12-21,1041
2024-12-22,1043
2024-12-23,1044
2024-12-24,1044
2024-12-25,1044
2024-12-26,1044
2024-12-27,1045
2024-12-28,1046
2024-12-29,1047
2024-12-30,1045
2024-12-31,1044
2025-01-01,1047
2025-01-02,1048
2025-01-03,1052
2025-01-04,1052
2025-01-05,1054
2025-01-06,1055
2025-01-07,1055
2025-01-08,1055
2025-01-09,1056
2025-01-10,1059
2025-01-11,1059
2025-01-12,1061
2025-01-13,1065
2025-01-14,1069
2025-01-15,1072
2025-01-16,1073
2025-01-17,1074
2025-01-18,1074
2025-01-19,1075
2025-01-20,1077
2025-01-21,1079
2025-01-22,1084
2025-01-23,1088
2025-01-24,1089
2025-01-25,1091
2025-01-26,1094
2025-01-27,1097
2025-01-28,1098
2025-01-29,1101
2025-01-30,1102
2025-01-31,1104
2025-02-01,1104
2025-02-02,1107
2025-02-03,1107
2025-02-04,1109
2025-02-05,1112
2025-02-06,1114
2025-02-07,1114
2025-02-08,1116
2025-02-09,1119
2025-02-10,1120
2025-02-11,1120
2025-02-12,1120
2025-02-13,1121
2025-02-13,1121
2025-02-14,1120
2025-02-15,1120
2025-02-16,1119
2025-02-17,1120
2025-02-18,1120
2025-02-19,1120
2025-02-20,1121
2025-02-21,1121
2025-02-22,1121
2025-02-23,1121
2025-02-24,1121
2025-02-25,1122
2025-02-26,1125
2025-02-27,1126
2025-02-28,1127
2025-03-01,1127
2025-03-02,1126
2025-03-03,1128
2025-03-04,1129
2025-03-05,1130
2025-03-06,1131
2025-03-07,1131
2025-03-08,1131
2025-03-09,1132
2025-03-10,1132
2025-03-11,1132
2025-03-12,1135
2025-03-13,1136
2025-03-14,1135
2025-03-15,1135
2025-03-16,1138
2025-03-17,1139
2025-03-18,1139
2025-03-19,1139
2025-03-20,1139
2025-03-21,1138
2025-03-22,1138
2025-03-23,1139
2025-03-24,1140
2025-03-24,1140
2025-03-25,1141
2025-03-26,1140
2025-03-27,1141
2025-03-28,1141
2025-03-29,1141
2025-03-30,1139
2025-03-31,1139
2025-04-01,1141
2025-04-02,1142
2025-04-03,1142
2025-04-04,1142
2025-04-05,1142
2025-04-06,1143
2025-04-07,1143
2025-04-08,1143
2025-04-09,1145
2025-04-10,1146
2025-04-11,1146
2025-04-12,1147
2025-04-13,1148
2025-04-14,1148
2025-04-15,1149
2025-04-16,1151
2025-04-17,1152
2025-04-18,1152
2025-04-19,1153
2025-04-20,1153
2025-04-21,1153
2025-04-22,1152
2025-04-23,1152
2025-04-24,1152
2025-04-25,1152
2025-04-26,1152
2025-04-27,1153
2025-04-28,1155
2025-04-29,1156
2025-04-30,1156
2025-05-01,1156
2025-05-02,1155
2025-05-03,1155
2025-05-04,1155
2025-05-05,1156
2025-05-06,1155
2025-05-07,1155
2025-05-08,1155
2025-05-09,1157
2025-05-10,1157
2025-05-11,1157
2025-05-12,1158
2025-05-13,1158
2025-05-14,1158
2025-05-15,1158
2025-05-16,1159
2025-05-17,1159
2025-05-18,1159
2025-05-19,1162
2025-05-20,1164
2025-05-21,1164
2025-05-22,1164
2025-05-23,1165
2025-05-24,1164
2025-05-25,1164
2025-05-26,1163
2025-05-27,1165
2025-05-28,1165
2025-05-29,1165
2025-05-30,1164
2025-05-31,1164
2025-06-01,1163
2025-06-02,1163
2025-06-03,1164
2025-06-04,1164
2025-06-05,1164
2025-06-06,1164
2025-06-07,1164
2025-06-08,1165
2025-06-09,1165
